layer,sequences,time_us
lm_head,1,384.682
lm_head,2,384.852
lm_head,3,386.399
lm_head,4,385.194
lm_head,5,389.183
lm_head,6,387.103
lm_head,7,388.297
lm_head,8,386.826
lm_head,9,389.439
lm_head,10,388.533
lm_head,11,388.906
lm_head,12,390.207
lm_head,13,389.279
lm_head,14,389.877
lm_head,15,391.231
lm_head,16,389.812
lm_head,20,390.783
lm_head,24,392.553
lm_head,28,395.348
lm_head,32,395.648
lm_head,36,396.084
lm_head,40,397.066
lm_head,44,397.748
lm_head,48,398.559
lm_head,52,411.253
lm_head,56,411.049
lm_head,60,412.415
lm_head,64,412.895
lm_head,80,415.818
lm_head,96,407.851
lm_head,112,408.191
lm_head,128,413.556
lm_head,144,419.529
lm_head,160,423.754
lm_head,176,426.644
lm_head,192,430.89
lm_head,208,436.82
lm_head,224,444.565
lm_head,240,451.402
lm_head,256,457.194
sampler,1,14.4213
sampler,2,14.7947
sampler,3,15.0077
sampler,4,15.1883
sampler,5,15.4033
sampler,6,17.8453
sampler,7,18.411
sampler,8,18.4217
sampler,9,19.125
sampler,10,19.296
sampler,11,21.1197
sampler,12,22.208
sampler,13,22.9433
sampler,14,23.2643
sampler,15,23.5417
sampler,16,24.8427
sampler,20,27.6267
sampler,24,29.8453
sampler,28,34.827
sampler,32,37.7593
sampler,36,42.507
sampler,40,45.8667
sampler,44,47.5413
sampler,48,51.1573
sampler,52,58.2933
sampler,56,63.2853
sampler,60,67.3277
sampler,64,70.9327
sampler,80,87.4663
sampler,96,105.397
sampler,112,121.034
sampler,128,144.138
sampler,144,154.037
sampler,160,173.056
sampler,176,171.424
sampler,192,202.571
sampler,208,220.244
sampler,224,233.845
sampler,240,246.976
sampler,256,259.53
