prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,9.419
0,0,1,32,9.44033
0,0,1,64,9.30133
0,0,1,128,13.7173
0,0,1,256,14.069
0,0,1,512,13.7063
0,0,1,1024,13.8347
0,0,1,2048,13.8027
0,0,1,4096,13.76
0,0,1,8192,13.76
0,0,1,16384,13.8133
0,0,1,32768,13.6433
0,0,2,16,9.55767
0,0,2,32,9.472
0,0,2,64,9.525
0,0,2,128,13.7063
0,0,2,256,13.6107
0,0,2,512,13.6537
0,0,2,1024,13.5993
0,0,2,2048,13.6323
0,0,2,4096,13.9087
0,0,2,8192,13.653
0,0,2,16384,13.7917
0,0,2,32768,13.9737
0,0,4,16,9.962
0,0,4,32,9.98367
0,0,4,64,9.96233
0,0,4,128,13.941
0,0,4,256,14.1973
0,0,4,512,13.898
0,0,4,1024,14.2287
0,0,4,2048,13.93
0,0,4,4096,13.856
0,0,4,8192,14.101
0,0,4,16384,14.1017
0,0,4,32768,13.9203
0,0,8,16,10.5813
0,0,8,32,10.592
0,0,8,64,10.5173
0,0,8,128,14.4423
0,0,8,256,14.2933
0,0,8,512,14.3787
0,0,8,1024,14.261
0,0,8,2048,14.4317
0,0,8,4096,14.5067
0,0,8,8192,14.4003
0,0,8,16384,14.4113
0,0,8,32768,14.336
0,0,16,16,10.4637
0,0,16,32,10.507
0,0,16,64,10.5817
0,0,16,128,14.6347
0,0,16,256,14.6347
0,0,16,512,14.4953
0,0,16,1024,14.4427
0,0,16,2048,14.613
0,0,16,4096,14.6023
0,0,16,8192,14.6453
0,0,16,16384,14.4217
0,0,16,32768,14.57
0,0,32,16,10.5497
0,0,32,32,10.71
0,0,32,64,10.837
0,0,32,128,15.21
0,0,32,256,15.1897
0,0,32,512,14.9547
0,0,32,1024,14.8907
0,0,32,2048,15.1253
0,0,32,4096,15.0077
0,0,32,8192,15.1253
0,0,32,16384,15.019
0,0,32,32768,14.976
0,0,64,16,13.0343
0,0,64,32,13.4403
0,0,64,64,13.8243
0,0,64,128,22.474
0,0,64,256,22.3353
0,0,64,512,22.1547
0,0,64,1024,21.995
0,0,64,2048,22.1333
0,0,64,4096,21.9847
0,0,64,8192,22.4743
0,0,64,16384,22.2193
0,0,64,32768,22.2083
0,0,128,16,18.9223
0,0,128,32,19.157
0,0,128,64,19.2537
0,0,128,128,33.6747
0,0,128,256,33.6317
0,0,128,512,33.2917
0,0,128,1024,33.2903
0,0,128,2048,33.589
0,0,128,4096,33.5247
0,0,128,8192,33.845
0,0,128,16384,33.3977
0,0,128,32768,33.5897
0,0,256,16,30.261
0,0,256,32,30.475
0,0,256,64,30.976
0,0,256,128,57.355
0,0,256,256,57.536
0,0,256,512,57.7273
0,0,256,1024,57.6427
0,0,256,2048,57.2153
0,0,256,4096,57.8973
0,0,256,8192,58.1117
0,0,256,16384,57.4827
0,0,256,32768,58.1647
16,0,0,0,13.4507
16,0,1,16,13.4503
16,0,1,32,13.3867
16,0,1,64,13.3973
16,0,1,128,13.888
16,0,1,256,14.3143
16,0,1,512,14.2503
16,0,1,1024,14.1337
16,0,1,2048,14.09
16,0,1,4096,13.8883
16,0,1,8192,13.9517
16,0,1,16384,14.3037
16,0,1,32768,14.1537
16,0,2,16,13.3333
16,0,2,32,13.387
16,0,2,64,13.4613
16,0,2,128,14.325
16,0,2,256,14.027
16,0,2,512,14.1017
16,0,2,1024,13.9733
16,0,2,2048,14.091
16,0,2,4096,14.1973
16,0,2,8192,14.0157
16,0,2,16384,14.1013
16,0,2,32768,13.9733
16,0,4,16,13.8993
16,0,4,32,14.0163
16,0,4,64,13.813
16,0,4,128,14.5073
16,0,4,256,14.6133
16,0,4,512,14.3467
16,0,4,1024,14.3683
16,0,4,2048,14.347
16,0,4,4096,14.4643
16,0,4,8192,14.2293
16,0,4,16384,14.4107
16,0,4,32768,14.3467
16,0,8,16,14.0583
16,0,8,32,14.0693
16,0,8,64,14.1543
16,0,8,128,14.144
16,0,8,256,14.2827
16,0,8,512,14.1757
16,0,8,1024,14.1753
16,0,8,2048,14.4107
16,0,8,4096,14.1657
16,0,8,8192,14.4423
16,0,8,16384,14.1337
16,0,8,32768,14.208
16,0,16,16,14.0693
16,0,16,32,14.059
16,0,16,64,14.272
16,0,16,128,14.4633
16,0,16,256,14.591
16,0,16,512,14.3573
16,0,16,1024,14.517
