prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.01
0,0,1,32,11.9683
0,0,1,64,11.999
0,0,1,128,12.992
0,0,1,256,14.3147
0,0,1,512,14.123
0,0,1,1024,15.1363
0,0,1,2048,16.043
0,0,1,4096,17.408
0,0,1,8192,20.778
0,0,1,16384,24.2027
0,0,2,16,12.011
0,0,2,32,12.117
0,0,2,64,11.9467
0,0,2,128,13.0997
0,0,2,256,13.899
0,0,2,512,15.3813
0,0,2,1024,16.2133
0,0,2,2048,17.3767
0,0,2,4096,19.168
0,0,2,8192,23.5733
0,0,2,16384,32.1823
0,0,4,16,11.798
0,0,4,32,11.744
0,0,4,64,11.8617
0,0,4,128,13.2057
0,0,4,256,13.8987
0,0,4,512,15.6487
0,0,4,1024,17.2053
0,0,4,2048,18.912
0,0,4,4096,23.6797
0,0,4,8192,31.9573
0,0,4,16384,47.179
0,0,8,16,12.768
0,0,8,32,12.608
0,0,8,64,12.4803
0,0,8,128,13.6637
0,0,8,256,14.827
0,0,8,512,17.568
0,0,8,1024,19.2423
0,0,8,2048,23.2427
0,0,8,4096,32.2033
0,0,8,8192,47.6697
0,0,8,16384,77.578
0,0,16,16,13.0133
0,0,16,32,12.9387
0,0,16,64,12.4903
0,0,16,128,13.739
0,0,16,256,14.88
0,0,16,512,19.7547
0,0,16,1024,24.118
0,0,16,2048,33.451
0,0,16,4096,48.075
0,0,16,8192,78.3787
0,0,16,16384,137.43
0,0,32,16,13.1203
0,0,32,32,12.97
0,0,32,64,13.301
0,0,32,128,14.7413
0,0,32,256,17.2907
0,0,32,512,23.723
0,0,32,1024,31.9467
0,0,32,2048,47.403
0,0,32,4096,78.3793
0,0,32,8192,136.79
0,0,32,16384,254.146
0,0,64,16,17.526
0,0,64,32,17.888
0,0,64,64,17.8667
0,0,64,128,20.8857
0,0,64,256,24.1493
0,0,64,512,36.021
0,0,64,1024,53.1413
0,0,64,2048,81.2163
0,0,64,4096,138.465
0,0,64,8192,255.734
0,0,64,16384,485.111
0,0,128,16,24.4587
0,0,128,32,24.704
0,0,128,64,25.536
0,0,128,128,31.051
0,0,128,256,38.8373
0,0,128,512,61.088
0,0,128,1024,90.1873
0,0,128,2048,146.656
0,0,128,4096,260.172
0,0,128,8192,486.294
0,0,128,16384,948.367
0,0,256,16,37.8243
0,0,256,32,38.102
0,0,256,64,39.5747
0,0,256,128,51.3177
0,0,256,256,64.971
0,0,256,512,107.755
0,0,256,1024,166.209
0,0,256,2048,278.637
0,0,256,4096,501.197
0,0,256,8192,954.81
0,0,256,16384,1868.8
16,0,0,0,14.0373
16,0,1,16,14.166
16,0,1,32,14.1543
16,0,1,64,14.432
16,0,1,128,15.115
16,0,1,256,16.6297
16,0,1,512,18.3253
16,0,1,1024,18.8587
16,0,1,2048,19.115
16,0,1,4096,21.3227
16,0,1,8192,24.8747
16,0,1,16384,31.2967
16,0,2,16,14.1657
16,0,2,32,14.208
16,0,2,64,14.198
16,0,2,128,15.52
16,0,2,256,16.9167
16,0,2,512,18.56
16,0,2,1024,18.7727
16,0,2,2048,19.3923
16,0,2,4096,22.4323
16,0,2,8192,26.4007
16,0,2,16384,34.9657
16,0,4,16,14.4
16,0,4,32,14.3253
16,0,4,64,14.2933
16,0,4,128,16.0853
16,0,4,256,17.344
16,0,4,512,18.9327
16,0,4,1024,19.5733
16,0,4,2048,21.28
16,0,4,4096,25.5897
16,0,4,8192,38.2613
16,0,4,16384,53.4297
16,0,8,16,14.4327
16,0,8,32,14.4
16,0,8,64,14.5813
16,0,8,128,16.6723
16,0,8,256,17.227
16,0,8,512,19.6583
16,0,8,1024,22.5383
16,0,8,2048,30.2293
16,0,8,4096,38.0483
16,0,8,8192,53.3013
16,0,8,16384,82.5387
16,0,16,16,14.464
16,0,16,32,14.379
16,0,16,64,14.4853
16,0,16,128,16.4373
16,0,16,256,17.11
16,0,16,512,26.0373
16,0,16,1024,30.208
16,0,16,2048,38.1227
16,0,16,4096,53.6747
16,0,16,8192,80.395
16,0,16,16384,139.446
16,0,32,16,19.2737
