tokens,activated_experts,time_us
1,8,96.8117
2,8,96.8533
2,16,163.147
4,8,96.5337
4,16,163.148
4,32,293.249
8,8,97.878
8,16,165.046
8,32,295.938
8,64,555.459
16,8,102.389
16,16,169.312
16,32,301.26
16,64,559.757
16,128,1071.73
32,8,139.617
32,16,171.073
32,32,305.227
32,64,563.524
32,128,1079.72
64,8,162.677
64,16,187.788
64,32,310.648
64,64,575.577
64,128,1108.81
128,8,145.431
128,16,185.484
128,32,318.604
128,64,591.907
128,128,1128.6
256,8,231.66
256,16,255.713
256,32,333.921
256,64,612.196
256,128,1154.26
512,8,427.8
512,16,430.593
512,32,481.07
512,64,642.596
512,128,1188.23
1024,8,608.994
1024,16,619.896
1024,32,646.488
1024,64,743.799
1024,128,1338.53
2048,8,1183.25
2048,16,1194.73
2048,32,1219.74
2048,64,1272.17
2048,128,1460.62
4096,8,2294.92
4096,16,2313.14
4096,32,2340.57
4096,64,2384.19
4096,128,2514.2
8192,8,4560.22
8192,16,4579.6
8192,32,4610.96
8192,64,4668.14
8192,128,4756.2
