prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.4027
0,0,1,32,11.2
0,0,1,64,11.2747
0,0,1,128,12.6827
0,0,1,256,13.4187
0,0,1,512,14.6237
0,0,1,1024,15.3813
0,0,1,2048,16.1067
0,0,1,4096,17.514
0,0,1,8192,19.6267
0,0,1,16384,24.0747
0,0,2,16,11.157
0,0,2,32,11.317
0,0,2,64,11.467
0,0,2,128,12.5223
0,0,2,256,13.44
0,0,2,512,15.1453
0,0,2,1024,15.4773
0,0,2,2048,16.2983
0,0,2,4096,18.688
0,0,2,8192,23.275
0,0,2,16384,31.488
0,0,4,16,11.4237
0,0,4,32,11.3493
0,0,4,64,11.2427
0,0,4,128,12.8003
0,0,4,256,13.696
0,0,4,512,15.264
0,0,4,1024,16.9277
0,0,4,2048,18.6773
0,0,4,4096,23.1677
0,0,4,8192,31.2963
0,0,4,16384,46.3257
0,0,8,16,12.085
0,0,8,32,12.117
0,0,8,64,11.9893
0,0,8,128,13.1737
0,0,8,256,14.1433
0,0,8,512,16.8213
0,0,8,1024,19.0503
0,0,8,2048,23.6907
0,0,8,4096,32.2777
0,0,8,8192,47.0187
0,0,8,16384,78.0047
0,0,16,16,12.2453
0,0,16,32,12.0427
0,0,16,64,12.352
0,0,16,128,13.6427
0,0,16,256,14.8477
0,0,16,512,19.9467
0,0,16,1024,25.1843
0,0,16,2048,33.9417
0,0,16,4096,49.035
0,0,16,8192,79.8937
0,0,16,16384,140.566
0,0,32,16,12.4477
0,0,32,32,12.523
0,0,32,64,12.9817
0,0,32,128,15.0187
0,0,32,256,17.5787
0,0,32,512,25.621
0,0,32,1024,35.9363
0,0,32,2048,51.072
0,0,32,4096,82.411
0,0,32,8192,142.24
0,0,32,16384,264.213
0,0,64,16,16.779
0,0,64,32,17.0237
0,0,64,64,17.4933
0,0,64,128,20.5653
0,0,64,256,25.1307
0,0,64,512,36.533
0,0,64,1024,52.3843
0,0,64,2048,82.3897
0,0,64,4096,141.567
0,0,64,8192,258.527
0,0,64,16384,500.17
0,0,128,16,23.4027
0,0,128,32,23.4773
0,0,128,64,24.0953
0,0,128,128,30.005
0,0,128,256,37.184
0,0,128,512,57.1943
0,0,128,1024,87.914
0,0,128,2048,145.888
0,0,128,4096,262.699
0,0,128,8192,494.922
0,0,128,16384,967.07
0,0,256,16,37.1307
0,0,256,32,37.269
0,0,256,64,38.7737
0,0,256,128,50.2723
0,0,256,256,64.7463
0,0,256,512,102.549
0,0,256,1024,161.931
0,0,256,2048,275.999
0,0,256,4096,504.607
0,0,256,8192,967.199
0,0,256,16384,1903.07
16,0,0,0,13.195
16,0,1,16,13.3333
16,0,1,32,13.0133
16,0,1,64,13.1627
16,0,1,128,14.2293
16,0,1,256,15.7863
16,0,1,512,17.2377
16,0,1,1024,17.77
16,0,1,2048,18.0477
16,0,1,4096,19.3383
16,0,1,8192,21.429
16,0,1,16384,25.952
16,0,2,16,13.1307
16,0,2,32,13.259
16,0,2,64,13.0777
16,0,2,128,14.197
16,0,2,256,15.8183
16,0,2,512,17.1297
16,0,2,1024,18.912
16,0,2,2048,19.2537
16,0,2,4096,20.811
16,0,2,8192,24.9913
16,0,2,16384,34.5387
16,0,4,16,13.2483
16,0,4,32,13.1733
16,0,4,64,13.162
16,0,4,128,14.5383
16,0,4,256,15.765
16,0,4,512,17.6433
16,0,4,1024,18.9117
16,0,4,2048,20.9707
16,0,4,4096,24.8963
16,0,4,8192,34.272
16,0,4,16384,49.6533
16,0,8,16,13.4507
16,0,8,32,13.4293
16,0,8,64,13.333
16,0,8,128,15.136
16,0,8,256,16.2123
16,0,8,512,18.4747
16,0,8,1024,20.768
16,0,8,2048,25.419
16,0,8,4096,34.7307
16,0,8,8192,49.8453
16,0,8,16384,80.6397
16,0,16,16,13.7707
16,0,16,32,13.696
16,0,16,64,13.962
16,0,16,128,15.456
16,0,16,256,16.3733
16,0,16,512,21.4507
16,0,16,1024,26.2193
16,0,16,2048,35.5203
16,0,16,4096,51.4127
16,0,16,8192,82.026
16,0,16,16384,141.803
16,0,32,16,14.368
16,0,32,32,14.6987
16,0,32,64,14.4213
16,0,32,128,15.915
16,0,32,256,18.7627
16,0,32,512,27.211
16,0,32,1024,37.6317
16,0,32,2048,54.5387
16,0,32,4096,83.466
16,0,32,8192,144.522
16,0,32,16384,263.872
16,0,64,16,19.0397
16,0,64,32,19.317
16,0,64,64,20.0743
16,0,64,128,22.784
16,0,64,256,26.72
16,0,64,512,38.72
16,0,64,1024,55.7867
16,0,64,2048,86.624
16,0,64,4096,147.626
16,0,64,8192,265.866
16,0,64,16384,502.463
16,0,128,16,28.779
16,0,128,32,29.2373
16,0,128,64,29.8667
16,0,128,128,35.4237
16,0,128,256,42.742
16,0,128,512,63.648
16,0,128,1024,95.5947
16,0,128,2048,156.277
16,0,128,4096,275.615
16,0,128,8192,509.748
16,0,128,16384,984.062
16,16,0,0,12.971
16,16,1,16,13.12
16,16,1,32,13.2157
16,16,1,64,13.0987
16,16,1,128,14.5067
16,16,1,256,15.6267
16,16,1,512,17.109
16,16,1,1024,17.9307
16,16,1,2048,18.2933
16,16,1,4096,19.509
16,16,1,8192,21.4077
16,16,1,16384,26.304
16,16,2,16,13.0343
16,16,2,32,13.0993
16,16,2,64,13.1947
16,16,2,128,14.3463
16,16,2,256,15.8933
16,16,2,512,17.2053
16,16,2,1024,18.112
16,16,2,2048,19.1357
16,16,2,4096,21.0873
16,16,2,8192,25.4507
16,16,2,16384,33.6533
16,16,4,16,13.28
16,16,4,32,13.1943
16,16,4,64,13.141
16,16,4,128,14.7833
16,16,4,256,15.615
16,16,4,512,18.475
16,16,4,1024,19.296
16,16,4,2048,20.8003
16,16,4,4096,25.3223
16,16,4,8192,35.093
16,16,4,16384,49.4507
16,16,8,16,13.2167
16,16,8,32,13.365
16,16,8,64,13.4513
16,16,8,128,15.2213
16,16,8,256,16.3303
16,16,8,512,18.6343
16,16,8,1024,20.3737
16,16,8,2048,25.3977
16,16,8,4096,34.5817
16,16,8,8192,50.3787
16,16,8,16384,79.8297
16,16,16,16,13.515
16,16,16,32,13.6323
16,16,16,64,14.0157
16,16,16,128,15.7973
16,16,16,256,16.4907
16,16,16,512,21.2587
16,16,16,1024,26.88
16,16,16,2048,35.7113
16,16,16,4096,51.1037
16,16,16,8192,82.645
16,16,16,16384,142.165
16,16,32,16,14.3673
16,16,32,32,14.0377
16,16,32,64,14.369
16,16,32,128,15.7877
16,16,32,256,18.432
16,16,32,512,27.339
16,16,32,1024,36.7897
16,16,32,2048,52.8853
16,16,32,4096,83.6473
16,16,32,8192,143.776
16,16,32,16384,263.253
16,16,64,16,19.0613
16,16,64,32,19.3497
16,16,64,64,20.2133
16,16,64,128,22.7733
16,16,64,256,26.122
16,16,64,512,39.2533
16,16,64,1024,56.1277
16,16,64,2048,86.4103
16,16,64,4096,147.221
16,16,64,8192,266.207
16,16,64,16384,503.754
16,16,128,16,28.8327
16,16,128,32,29.0877
16,16,128,64,29.8557
16,16,128,128,35.4773
16,16,128,256,42.8263
16,16,128,512,63.9467
16,16,128,1024,95.8297
16,16,128,2048,155.243
16,16,128,4096,274.069
16,16,128,8192,509.93
16,16,128,16384,983.464
16,32,0,0,13.152
16,32,1,16,13.0567
16,32,1,32,13.12
16,32,1,64,13.2587
16,32,1,128,14.3463
16,32,1,256,15.6373
16,32,1,512,16.9493
16,32,1,1024,17.6743
16,32,1,2048,18.0907
16,32,1,4096,19.648
16,32,1,8192,21.5153
16,32,1,16384,26.2083
16,32,2,16,13.2157
16,32,2,32,13.376
16,32,2,64,13.2483
16,32,2,128,14.2073
16,32,2,256,15.8607
16,32,2,512,17.2587
16,32,2,1024,17.973
16,32,2,2048,18.859
16,32,2,4096,20.9493
16,32,2,8192,25.3013
16,32,2,16384,33.6543
16,32,4,16,13.3867
16,32,4,32,13.2373
16,32,4,64,13.2907
16,32,4,128,14.571
16,32,4,256,15.968
16,32,4,512,17.515
16,32,4,1024,18.8693
16,32,4,2048,20.5123
16,32,4,4096,24.96
16,32,4,8192,34.2503
16,32,4,16384,49.4403
16,32,8,16,13.28
16,32,8,32,13.3443
16,32,8,64,13.3543
16,32,8,128,14.9337
16,32,8,256,16.0427
16,32,8,512,18.8053
16,32,8,1024,20.619
16,32,8,2048,25.3543
16,32,8,4096,34.453
16,32,8,8192,49.482
16,32,8,16384,79.8827
16,32,16,16,13.6853
16,32,16,32,13.7707
16,32,16,64,14.1017
16,32,16,128,15.6053
16,32,16,256,16.5973
16,32,16,512,21.5467
16,32,16,1024,26.806
16,32,16,2048,36.0853
16,32,16,4096,51.7543
16,32,16,8192,81.7803
16,32,16,16384,142.901
16,32,32,16,14.208
16,32,32,32,14.4217
16,32,32,64,14.88
16,32,32,128,15.8503
16,32,32,256,18.614
16,32,32,512,27.904
16,32,32,1024,37.5147
16,32,32,2048,53.76
16,32,32,4096,83.5093
16,32,32,8192,144.864
16,32,32,16384,263.54
16,32,64,16,19.3597
16,32,64,32,19.5417
16,32,64,64,20.1173
16,32,64,128,22.8907
16,32,64,256,26.6237
16,32,64,512,39.275
16,32,64,1024,56.4483
16,32,64,2048,86.698
16,32,64,4096,147.413
16,32,64,8192,264.874
16,32,64,16384,505.908
16,32,128,16,28.6503
16,32,128,32,28.981
16,32,128,64,29.9307
16,32,128,128,35.4343
16,32,128,256,42.3153
16,32,128,512,63.8077
16,32,128,1024,95.2213
16,32,128,2048,154.891
16,32,128,4096,274.079
16,32,128,8192,510.399
16,32,128,16384,983.039
16,64,0,0,13.1843
16,64,1,16,13.0023
16,64,1,32,13.2593
16,64,1,64,13.088
16,64,1,128,14.496
16,64,1,256,15.8397
16,64,1,512,16.9923
16,64,1,1024,17.899
16,64,1,2048,18.0373
16,64,1,4096,19.3597
16,64,1,8192,21.2907
16,64,1,16384,26.5383
16,64,2,16,13.2267
16,64,2,32,13.184
16,64,2,64,13.2277
16,64,2,128,14.2933
16,64,2,256,15.8607
16,64,2,512,16.939
16,64,2,1024,17.824
16,64,2,2048,19.2107
16,64,2,4096,21.0137
16,64,2,8192,25.1833
16,64,2,16384,34.282
16,64,4,16,13.0977
16,64,4,32,13.1723
16,64,4,64,13.3547
16,64,4,128,14.56
16,64,4,256,15.9997
16,64,4,512,17.9197
16,64,4,1024,19.093
16,64,4,2048,20.7047
16,64,4,4096,25.216
16,64,4,8192,33.4183
16,64,4,16384,49.0453
16,64,8,16,13.3653
16,64,8,32,13.3757
16,64,8,64,13.3227
16,64,8,128,15.1037
16,64,8,256,16.2137
16,64,8,512,18.6557
16,64,8,1024,20.7463
16,64,8,2048,26.272
16,64,8,4096,35.403
16,64,8,8192,50.3893
16,64,8,16384,81.3333
16,64,16,16,13.9733
16,64,16,32,13.4937
16,64,16,64,13.8453
16,64,16,128,15.691
16,64,16,256,16.544
16,64,16,512,21.611
16,64,16,1024,26.4007
16,64,16,2048,35.9037
16,64,16,4096,50.901
16,64,16,8192,81.376
16,64,16,16384,141.941
16,64,32,16,14.421
16,64,32,32,14.56
16,64,32,64,14.4423
16,64,32,128,15.8187
16,64,32,256,18.5597
16,64,32,512,27.552
16,64,32,1024,38.0373
16,64,32,2048,52.9703
16,64,32,4096,85.0773
16,64,32,8192,144.938
16,64,32,16384,265.547
16,64,64,16,19.0613
16,64,64,32,19.4877
16,64,64,64,20.085
16,64,64,128,22.848
16,64,64,256,26.549
16,64,64,512,39.2747
16,64,64,1024,56.8747
16,64,64,2048,86.0683
16,64,64,4096,146.528
16,64,64,8192,266.495
16,64,64,16384,503.252
16,64,128,16,28.8
16,64,128,32,29.173
16,64,128,64,29.5897
16,64,128,128,35.456
16,64,128,256,42.8903
16,64,128,512,64.139
16,64,128,1024,95.712
16,64,128,2048,155.712
16,64,128,4096,274.837
16,64,128,8192,509.301
16,64,128,16384,982.836
16,128,0,0,14.6133
16,128,1,16,14.784
16,128,1,32,14.816
16,128,1,64,14.6987
16,128,1,128,14.6877
16,128,1,256,15.6797
16,128,1,512,18.614
16,128,1,1024,17.7813
16,128,1,2048,18.2927
16,128,1,4096,20.1283
16,128,1,8192,21.343
16,128,1,16384,25.781
16,128,2,16,14.5813
16,128,2,32,14.7527
16,128,2,64,14.6243
16,128,2,128,14.7413
16,128,2,256,15.8507
16,128,2,512,18.9227
16,128,2,1024,18.2827
16,128,2,2048,19.6693
16,128,2,4096,21.312
16,128,2,8192,25.0023
16,128,2,16384,34.0053
16,128,4,16,14.5493
16,128,4,32,14.8483
16,128,4,64,14.7943
16,128,4,128,14.8163
16,128,4,256,15.84
16,128,4,512,20.3097
16,128,4,1024,19.2957
16,128,4,2048,20.5227
16,128,4,4096,24.9707
16,128,4,8192,34.315
16,128,4,16384,49.5147
16,128,8,16,14.7193
16,128,8,32,14.634
16,128,8,64,14.88
16,128,8,128,14.955
16,128,8,256,16.2133
16,128,8,512,18.656
16,128,8,1024,20.512
16,128,8,2048,25.5577
16,128,8,4096,34.6663
16,128,8,8192,50.9547
16,128,8,16384,80.7893
16,128,16,16,15.3387
16,128,16,32,15.2963
16,128,16,64,15.349
16,128,16,128,15.5627
16,128,16,256,16.374
16,128,16,512,21.6217
16,128,16,1024,26.3357
16,128,16,2048,36.032
16,128,16,4096,51.5313
16,128,16,8192,81.8333
16,128,16,16384,142.794
16,128,32,16,15.5307
16,128,32,32,15.7227
16,128,32,64,15.9677
16,128,32,128,15.8187
16,128,32,256,18.453
16,128,32,512,27.7873
16,128,32,1024,36.9493
16,128,32,2048,54.133
16,128,32,4096,84.362
16,128,32,8192,143.765
16,128,32,16384,264.512
16,128,64,16,19.1787
16,128,64,32,19.413
16,128,64,64,19.668
16,128,64,128,23.0397
16,128,64,256,26.997
16,128,64,512,39.563
16,128,64,1024,56.405
16,128,64,2048,87.7547
16,128,64,4096,148.714
16,128,64,8192,266.475
16,128,64,16384,502.623
16,128,128,16,28.9707
16,128,128,32,29.1953
16,128,128,64,29.856
16,128,128,128,35.9143
