tokens,activated_experts,time_us
1,8,42.037
2,8,43.872
2,16,58.965
4,8,52.1707
4,16,61.6857
4,32,93.7817
8,8,44.9063
8,16,62.325
8,32,102.912
8,64,164.267
16,8,48.7043
16,16,64.448
16,32,106.997
16,64,170.293
16,128,302.367
32,8,54.7733
32,16,65.0237
32,32,98.368
32,64,167.937
32,128,301.674
64,8,73.1417
64,16,77.046
64,32,101.365
64,64,178.688
64,128,311.039
128,8,108.565
128,16,112.331
128,32,129.867
128,64,176.831
128,128,309.535
256,8,137.685
256,16,141.237
256,32,153.333
256,64,200.639
256,128,337.483
512,8,126.667
512,16,134.421
512,32,150.347
512,64,202.356
512,128,346.751
1024,8,187.637
1024,16,190.155
1024,32,197.141
1024,64,246.771
1024,128,404.522
2048,8,353.44
2048,16,355.008
2048,32,358.57
2048,64,368.928
2048,128,454.453
