layer,sequences,time_us
lm_head,1,148.533
lm_head,2,149.045
lm_head,3,149.515
lm_head,4,149.855
lm_head,5,150.123
lm_head,6,150.55
lm_head,7,151.989
lm_head,8,150.133
lm_head,9,151.37
lm_head,10,152
lm_head,11,152.619
lm_head,12,152
lm_head,13,152.96
lm_head,14,153.056
lm_head,15,153.013
lm_head,16,153.162
lm_head,20,153.397
lm_head,24,154.314
lm_head,28,155.295
lm_head,32,155.499
lm_head,36,154.197
lm_head,40,155.488
lm_head,44,155.093
lm_head,48,156.075
lm_head,52,156.607
lm_head,56,157.301
lm_head,60,157.504
lm_head,64,157.545
lm_head,80,158.997
lm_head,96,163.126
lm_head,112,163.989
lm_head,128,167.296
lm_head,144,170.357
lm_head,160,173.461
lm_head,176,177.707
lm_head,192,185.685
lm_head,208,186.56
lm_head,224,195.53
lm_head,240,200.085
lm_head,256,205.6
sampler,1,13.5573
sampler,2,13.803
sampler,3,13.9413
sampler,4,14.0797
sampler,5,14.549
sampler,6,14.3887
sampler,7,14.8267
sampler,8,16.982
sampler,9,17.5893
sampler,10,17.6
sampler,11,17.888
sampler,12,18.027
sampler,13,18.2507
sampler,14,19.7337
sampler,15,21.1737
sampler,16,21.3013
sampler,20,22.4217
sampler,24,25.7173
sampler,28,28.278
sampler,32,31.1573
sampler,36,32.704
sampler,40,34.9333
sampler,44,35.7547
sampler,48,38.1117
sampler,52,41.8557
sampler,56,44.3733
sampler,60,47.2317
sampler,64,50.7417
sampler,80,61.2693
sampler,96,71.3383
sampler,112,84.1067
sampler,128,97.973
sampler,144,107.179
sampler,160,115.445
sampler,176,117.514
sampler,192,136.896
sampler,208,150.912
sampler,224,160.49
sampler,240,166.955
sampler,256,175.638
