pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.009,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.2048,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0123,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0041,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.2045,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0039,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0255,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.1121,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0327,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0135,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.1557,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0141,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0108,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.3904,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0239,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1465,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.6756,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.2566,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0774,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.3693,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.1994,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0483,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.3271,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0793,2
0,n<=16,sr>70%,kvB<=16k,kp=0,1.4069,4
0,n<=16,sr>70%,kvB<=1k,kp=0,1.0189,4
0,n<=16,sr>70%,kvB<=4k,kp=0,1.6228,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.1267,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.7582,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.23,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0004,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.15,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0053,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.003,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.2021,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0038,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0089,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.1005,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0012,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0018,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.1589,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0016,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0004,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.4443,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.0286,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.1399,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.6266,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.2341,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.0826,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.6612,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.1371,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.1867,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.5021,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.2892,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.0828,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.8064,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.2197,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.096,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.767,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.3626,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0316,2
