layer,tokens,time_us
embedding,1,3.168
embedding,2,3.41333
embedding,3,3.68
embedding,4,3.90433
embedding,5,4.26667
embedding,6,4.45867
embedding,7,4.949
embedding,8,4.79967
embedding,9,5.49333
embedding,10,5.64267
embedding,11,5.78133
embedding,12,6.09067
embedding,13,6.51667
embedding,14,6.794
embedding,15,7.05067
embedding,16,7.08233
embedding,20,2.784
embedding,24,2.52767
embedding,28,2.816
embedding,32,2.592
embedding,36,2.70933
embedding,40,2.50667
embedding,44,2.79433
embedding,48,2.51767
embedding,52,2.73067
embedding,56,2.624
embedding,60,2.816
embedding,64,2.741
embedding,80,2.645
embedding,96,2.82733
embedding,112,2.614
embedding,128,2.677
embedding,144,3.16767
embedding,160,3.16867
embedding,176,3.168
embedding,192,3.22133
embedding,208,3.17833
embedding,224,3.11467
embedding,240,3.15767
embedding,256,3.137
embedding,272,3.69067
embedding,288,3.52033
embedding,304,3.51033
embedding,320,3.50933
embedding,336,3.467
embedding,352,3.59467
embedding,368,3.54167
embedding,384,3.57333
embedding,400,3.82933
embedding,416,3.904
embedding,432,3.88267
embedding,448,3.904
embedding,464,3.98933
embedding,480,3.89333
embedding,496,3.92533
embedding,512,3.99967
embedding,528,3.95733
embedding,544,4.11767
embedding,560,3.98933
embedding,576,4.011
embedding,592,4.08567
embedding,608,4.01133
embedding,624,4.09533
embedding,640,4.192
embedding,656,4.096
embedding,672,4.08533
embedding,688,4.09567
embedding,704,4.13833
embedding,720,4.192
embedding,736,4.13867
embedding,752,4.256
embedding,768,4.21267
embedding,784,4.192
embedding,800,4.33067
embedding,816,4.267
embedding,832,4.203
embedding,848,4.29867
embedding,864,4.28767
embedding,880,4.39467
embedding,896,4.352
embedding,912,4.33067
embedding,928,4.39467
embedding,944,4.384
embedding,960,4.341
embedding,976,4.43733
embedding,992,4.35167
embedding,1008,4.43733
embedding,1024,4.448
embedding,1040,4.544
embedding,1056,4.45867
embedding,1072,4.85333
embedding,1088,4.94933
embedding,1104,4.93867
embedding,1120,4.97
embedding,1136,4.917
embedding,1152,4.97067
embedding,1168,5.02367
embedding,1184,5.03433
embedding,1200,4.98133
embedding,1216,4.93833
embedding,1232,4.98133
embedding,1248,5.03467
embedding,1264,5.01333
embedding,1280,4.96033
embedding,1296,4.928
embedding,1312,4.99167
embedding,1328,4.97
embedding,1344,5.05633
embedding,1360,4.99167
embedding,1376,5.03467
embedding,1392,5.10933
embedding,1408,5.18333
embedding,1424,5.55733
embedding,1440,5.35533
embedding,1456,5.269
embedding,1472,5.344
embedding,1488,5.38667
embedding,1504,5.45067
embedding,1520,5.568
embedding,1536,5.38667
embedding,1552,5.56833
embedding,1568,5.46167
embedding,1584,5.44
embedding,1600,5.472
embedding,1616,5.51533
embedding,1632,5.45067
embedding,1648,5.47233
embedding,1664,5.493
embedding,1680,5.504
embedding,1696,5.74933
embedding,1712,5.6
embedding,1728,5.61067
embedding,1744,5.547
embedding,1760,5.568
embedding,1776,5.63167
embedding,1792,5.63233
embedding,1808,5.61067
embedding,1824,5.6
embedding,1840,5.68467
embedding,1856,5.66367
embedding,1872,5.76
embedding,1888,5.664
embedding,1904,5.67467
embedding,1920,5.66433
embedding,1936,5.856
embedding,1952,5.86633
embedding,1968,5.87733
embedding,1984,5.81333
embedding,2000,5.82367
embedding,2016,5.845
embedding,2032,5.93033
embedding,2048,5.86633
final_layernorm,1,2.35733
final_layernorm,2,2.34667
final_layernorm,3,2.29333
final_layernorm,4,2.38933
final_layernorm,5,2.283
final_layernorm,6,2.32533
final_layernorm,7,2.29333
final_layernorm,8,2.22933
final_layernorm,9,2.19767
final_layernorm,10,2.42133
final_layernorm,11,2.38933
final_layernorm,12,2.26133
final_layernorm,13,2.22967
final_layernorm,14,2.26167
final_layernorm,15,2.389
final_layernorm,16,2.26133
final_layernorm,20,2.34667
final_layernorm,24,2.21867
final_layernorm,28,2.35767
final_layernorm,32,2.32533
final_layernorm,36,2.33633
final_layernorm,40,2.272
final_layernorm,44,2.347
final_layernorm,48,2.304
final_layernorm,52,2.32533
final_layernorm,56,2.32533
final_layernorm,60,2.432
final_layernorm,64,2.29333
final_layernorm,80,2.368
final_layernorm,96,2.368
final_layernorm,112,2.496
final_layernorm,128,2.528
final_layernorm,144,2.688
