layer,sequences,time_us
lm_head,1,230.337
lm_head,2,234.721
lm_head,3,232.726
lm_head,4,230.411
lm_head,5,232.395
lm_head,6,230.7
lm_head,7,230.902
lm_head,8,232.641
lm_head,9,233.142
lm_head,10,227.681
lm_head,11,231.425
lm_head,12,230.465
lm_head,13,228.566
lm_head,14,234.241
lm_head,15,232.331
lm_head,16,235.457
lm_head,20,232.012
lm_head,24,234.38
lm_head,28,234.956
lm_head,32,232.299
lm_head,36,232.588
lm_head,40,233.419
lm_head,44,234.796
lm_head,48,233.526
lm_head,52,247.916
lm_head,56,248.481
lm_head,60,249.75
lm_head,64,250.092
lm_head,80,250.615
lm_head,96,229.185
lm_head,112,234.358
lm_head,128,235.489
lm_head,144,237.974
lm_head,160,240.865
lm_head,176,239.286
lm_head,192,267.468
lm_head,208,250.444
lm_head,224,270.785
lm_head,240,277.655
lm_head,256,287.831
sampler,1,32.5973
sampler,2,33.3763
sampler,3,33.0037
sampler,4,33.1197
sampler,5,32.6507
sampler,6,32.5227
sampler,7,32.7893
sampler,8,32.8323
sampler,9,34.6137
sampler,10,34.9333
sampler,11,34.6353
sampler,12,35.1047
sampler,13,35.0083
sampler,14,34.8903
sampler,15,35.5833
sampler,16,35.126
sampler,20,37.2693
sampler,24,37.8557
sampler,28,39.904
sampler,32,40.544
sampler,36,42.006
sampler,40,42.7733
sampler,44,45.941
sampler,48,48.7043
sampler,52,53.9417
sampler,56,57.088
sampler,60,60.395
sampler,64,62.923
sampler,80,71.1897
sampler,96,79.0193
sampler,112,86.326
sampler,128,93.3977
sampler,144,101.142
sampler,160,108.065
sampler,176,114.955
sampler,192,124.32
sampler,208,129.59
sampler,224,135.99
sampler,240,141.836
sampler,256,148.47
