regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,200.447,205.411,206.273,1.1737
pure,2,1,0.5,4.0,0,0,256,1024,640,207.201,206.917,206.461,
pure,2,1,0.5,4.0,0,0,512,2048,1280,207.298,210.271,206.145,-0.3878
pure,2,1,0.5,4.0,0,0,1024,4096,2560,210.209,221.506,215.555,0.4732
pure,2,1,0.5,4.0,0,0,2048,8192,5120,225.983,233.471,231.428,0.7272
pure,2,1,0.5,4.0,0,0,4096,16384,10240,242.398,247.999,248.836,1.1494
pure,2,1,0.5,4.0,0,0,8192,32768,20480,254.398,276.834,262.016,0.3395
mixed,2,1,0.5,4.0,16,0,128,512,320,221.885,223.139,223.651,1.4083
mixed,2,1,0.5,4.0,16,0,256,1024,640,222.143,224.611,221.245,-0.3639
mixed,2,1,0.5,4.0,16,0,512,2048,1280,228.062,231.616,230.143,0.5855
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,232.034,243.39,242.561,0.927
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,245.889,259.425,259.391,0.9975
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,269.568,302.118,303.267,1.0353
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,325.986,385.953,386.852,1.015
mixed,2,1,0.5,4.0,16,512,128,512,320,240.066,240.356,239.169,-3.0931
mixed,2,1,0.5,4.0,16,512,256,1024,640,241.154,240.033,239.392,
mixed,2,1,0.5,4.0,16,512,512,2048,1280,239.203,238.821,243.676,
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,240.868,249.795,247.97,0.7956
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,252.353,266.878,267.107,1.0158
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,277.087,310.016,311.236,1.037
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,329.506,390.115,389.027,0.982
mixed,2,1,0.5,4.0,16,1024,128,512,320,249.182,247.998,246.112,
mixed,2,1,0.5,4.0,16,1024,256,1024,640,248.448,249.725,248.611,0.1276
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,251.746,246.883,246.849,
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,245.601,251.873,253.633,1.2806
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,252.418,268.643,268.609,0.9979
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,277.284,311.008,308.834,0.9355
mixed,2,1,0.5,4.0,16,1024,8192,32768,20480,329.794,390.528,390.817,1.0048
mixed,2,1,0.5,4.0,16,2048,128,512,320,262.142,261.027,263.298,
mixed,2,1,0.5,4.0,16,2048,256,1024,640,262.241,261.891,264.037,
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,262.975,262.82,265.406,
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,267.167,256.865,259.905,
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,260.095,272.132,272.067,0.9946
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,284.065,314.813,312.545,0.9262
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,330.883,392.835,393.377,1.0087
mixed,2,1,0.5,4.0,16,4096,128,512,320,277.6,276.579,275.652,
mixed,2,1,0.5,4.0,16,4096,256,1024,640,273.796,275.62,274.811,0.5565
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,277.475,278.783,278.721,0.9526
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,276.704,276.802,276.448,-2.6122
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,277.408,273.025,275.329,
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,283.619,316.035,316.384,1.0108
mixed,2,1,0.5,4.0,16,4096,8192,32768,20480,336.357,393.409,395.172,1.0309
mixed,2,1,0.5,4.0,16,8192,128,512,320,300.259,299.332,300.067,
mixed,2,1,0.5,4.0,16,8192,256,1024,640,302.977,302.305,301.218,
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,300.994,301.441,300.704,-0.6488
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,300.511,298.625,299.618,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,300.163,302.625,300.226,0.0256
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,308.32,319.78,318.499,0.8882
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,339.106,398.753,397.122,0.9727
mixed,2,1,0.5,4.0,16,16384,128,512,320,340.996,340.738,343.363,
mixed,2,1,0.5,4.0,16,16384,256,1024,640,342.758,342.914,342.145,-3.9295
mixed,2,1,0.5,4.0,16,16384,512,2048,1280,342.309,343.49,343.647,1.1329
mixed,2,1,0.5,4.0,16,16384,1024,4096,2560,344.481,344.609,342.529,-15.25
mixed,2,1,0.5,4.0,16,16384,2048,8192,5120,342.369,345.602,343.296,0.2867
mixed,2,1,0.5,4.0,16,16384,4096,16384,10240,347.267,355.205,348.899,0.2056
mixed,2,1,0.5,4.0,16,16384,8192,32768,20480,351.937,403.489,400.003,0.9324
mixed,2,1,0.5,4.0,32,0,128,512,320,227.392,231.331,227.516,0.0315
