pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.206,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.5287,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.2453,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.1838,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.4877,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.2559,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.1866,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.3236,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.2138,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.2298,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.6819,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.3604,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.5344,4
0,n<=128,sr>70%,kvB<=1k,kp=0,1.5466,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.8314,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0155,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.4648,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0592,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0779,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.3265,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.1246,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0504,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.3083,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.1569,2
0,n<=16,sr>70%,kvB<=16k,kp=0,-0.0156,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.104,1
0,n<=16,sr>70%,kvB<=4k,kp=0,0.3657,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.7261,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,1.2282,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.3808,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0557,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.2525,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0662,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.0852,2
