tokens,activated_experts,time_us
1,8,161.055
2,8,160.96
2,16,235.521
4,8,157.483
4,16,232.715
4,32,390.499
8,8,158.124
8,16,233.132
8,32,392.675
8,64,710.449
16,8,162.051
16,16,236.738
16,32,397.593
16,64,708.91
16,128,1398.73
32,8,180.821
32,16,243.329
32,32,406.754
32,64,723.608
32,128,1396.31
32,256,2616.78
64,8,274.381
64,16,294.967
64,32,414.787
64,64,735.077
64,128,1411.51
64,256,2636.84
128,8,259.905
128,16,301.356
128,32,477.538
128,64,830.148
128,128,1527.1
128,256,2866.72
256,8,404.781
256,16,432.11
256,32,514.701
256,64,861.222
256,128,1580.54
256,256,2931.81
512,8,702.339
512,16,716.41
512,32,772.783
512,64,944.699
512,128,1625.72
512,256,3008.61
1024,8,1320.64
1024,16,1339.61
1024,32,1376.81
1024,64,1492.67
1024,128,1842.01
1024,256,3186.19
2048,8,2522.45
2048,16,2549.18
2048,32,2606.43
2048,64,2662.29
2048,128,2901.02
2048,256,3573.3
4096,8,4929.9
4096,16,4921.3
4096,32,5020.15
4096,64,5084.27
4096,128,5196.92
4096,256,5584.58
8192,8,9722.21
8192,16,9743.68
8192,32,9758.44
8192,64,9893.36
8192,128,10056
8192,256,10269.4
