regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,0,0,0,
pure,2,1,0.5,4.0,0,0,256,1024,640,0,0,0,
pure,2,1,0.5,4.0,0,0,512,2048,1280,0,0,0,
pure,2,1,0.5,4.0,0,0,1024,4096,2560,0,0,0,
pure,2,1,0.5,4.0,0,0,2048,8192,5120,0,0,0,
pure,2,1,0.5,4.0,0,0,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,16,0,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,16,0,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,16,0,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,16,512,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,16,512,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,16,512,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,16,1024,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,16,1024,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,16,2048,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,16,2048,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,16,4096,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,16,4096,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,16,8192,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,16,8192,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,32,0,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,32,0,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,32,0,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,32,512,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,32,512,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,32,512,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,32,1024,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,32,1024,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,32,2048,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,32,2048,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,0,0,0,
mixed,2,1,0.5,4.0,32,4096,128,512,320,0,0,0,
mixed,2,1,0.5,4.0,32,4096,256,1024,640,0,0,0,
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,0,0,0,
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,0,0,0,
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,0,0,0,
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,0,0,0,
