tokens,activated_experts,time_us
1,2,292.492
2,2,297.677
2,4,549.731
4,2,302.156
4,4,555.682
4,8,1074.76
8,2,304.909
8,4,557.923
8,8,1077.9
16,2,306.434
16,4,559.577
16,8,1082.98
32,2,520.302
32,4,564.825
32,8,1089.52
64,2,546.232
64,4,600.43
64,8,1152.82
128,2,554.671
128,4,624.771
128,8,1160.55
256,2,1015.9
256,4,1096.84
256,8,1196.76
512,2,2021.29
512,4,2054.34
512,8,2168.43
1024,2,2441.46
1024,4,2454.92
1024,8,2489.94
2048,2,4132.21
2048,4,4140.27
2048,8,4250.57
4096,2,8222.36
4096,4,8215.54
4096,8,8254.88
8192,2,17074.2
8192,4,16447.2
8192,8,17032.2
