prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12
0,0,1,32,11.9683
0,0,1,64,11.9463
0,0,1,128,13.3233
0,0,1,256,14.1337
0,0,1,512,14.4213
0,0,1,1024,15.4667
0,0,1,2048,16.7787
0,0,1,4096,19.2103
0,0,1,8192,23.531
0,0,1,16384,31.947
0,0,2,16,11.6377
0,0,2,32,11.7863
0,0,2,64,12.1813
0,0,2,128,12.8543
0,0,2,256,13.8133
0,0,2,512,15.2207
0,0,2,1024,16.6613
0,0,2,2048,18.9443
0,0,2,4096,22.954
0,0,2,8192,32.224
0,0,2,16384,46.3893
0,0,4,16,12.0853
0,0,4,32,12.074
0,0,4,64,12.512
0,0,4,128,13.3973
0,0,4,256,14.6557
0,0,4,512,17.2477
0,0,4,1024,18.5487
0,0,4,2048,23.3487
0,0,4,4096,31.36
0,0,4,8192,47.1897
0,0,4,16384,78.3467
0,0,8,16,12.4477
0,0,8,32,12.214
0,0,8,64,12.449
0,0,8,128,13.3973
0,0,8,256,14.5707
0,0,8,512,19.243
0,0,8,1024,23.029
0,0,8,2048,32.192
0,0,8,4096,46.3897
0,0,8,8192,78.176
0,0,8,16384,138.783
0,0,16,16,12.8527
0,0,16,32,12.9067
0,0,16,64,13.1623
0,0,16,128,14.0903
0,0,16,256,16.181
0,0,16,512,23.7013
0,0,16,1024,31.4453
0,0,16,2048,47.659
0,0,16,4096,77.504
0,0,16,8192,137.247
0,0,16,16384,258.337
0,0,32,16,17.1307
0,0,32,32,16.9817
0,0,32,64,17.0567
0,0,32,128,20.299
0,0,32,256,23.0723
0,0,32,512,34.7733
0,0,32,1024,50.507
0,0,32,2048,79.6693
0,0,32,4096,138.442
0,0,32,8192,256.224
0,0,32,16384,491.978
0,0,64,16,23.4667
0,0,64,32,24.1813
0,0,64,64,24.3627
0,0,64,128,29.9517
0,0,64,256,36.48
0,0,64,512,56.3627
0,0,64,1024,85.451
0,0,64,2048,143.52
0,0,64,4096,258.603
0,0,64,8192,492.096
0,0,64,16384,960.873
0,0,128,16,36.8427
0,0,128,32,37.696
0,0,128,64,39.3593
0,0,128,128,49.5037
0,0,128,256,63.6587
0,0,128,512,98.591
0,0,128,1024,157.472
0,0,128,2048,271.456
0,0,128,4096,498.666
0,0,128,8192,959.946
0,0,128,16384,1898.71
0,0,256,16,63.2213
0,0,256,32,63.9147
0,0,256,64,65.7703
0,0,256,128,86.0587
0,0,256,256,111.68
0,0,256,512,181.686
0,0,256,1024,297.407
0,0,256,2048,525.952
0,0,256,4096,976.244
0,0,256,8192,1902.86
0,0,256,16384,3778.26
16,0,0,0,12.2773
16,0,1,16,11.9143
16,0,1,32,12.096
16,0,1,64,11.9677
16,0,1,128,12.6507
16,0,1,256,13.8773
16,0,1,512,14.827
16,0,1,1024,15.883
16,0,1,2048,16.7363
16,0,1,4096,19.157
16,0,1,8192,23.5947
16,0,1,16384,31.5093
16,0,2,16,12.597
16,0,2,32,12.1387
16,0,2,64,12.416
16,0,2,128,13.4503
16,0,2,256,14.3677
16,0,2,512,15.4987
16,0,2,1024,17.0667
16,0,2,2048,18.4747
16,0,2,4096,23.2223
16,0,2,8192,34.453
16,0,2,16384,48.1063
16,0,4,16,12.491
16,0,4,32,12.245
16,0,4,64,12.3307
16,0,4,128,13.632
16,0,4,256,14.464
16,0,4,512,17.451
16,0,4,1024,18.6233
16,0,4,2048,25.8983
16,0,4,4096,33.0773
16,0,4,8192,47.0507
16,0,4,16384,76.671
16,0,8,16,12.2133
16,0,8,32,12.416
16,0,8,64,12.5013
16,0,8,128,13.5153
16,0,8,256,14.4323
16,0,8,512,23.104
16,0,8,1024,26.0583
16,0,8,2048,34.7727
16,0,8,4096,48.0003
16,0,8,8192,78.9757
16,0,8,16384,138.891
16,0,16,16,15.435
16,0,16,32,15.809
16,0,16,64,15.818
16,0,16,128,18.0263
16,0,16,256,18.7627
16,0,16,512,25.504
16,0,16,1024,33.408
16,0,16,2048,47.9683
16,0,16,4096,76.8743
16,0,16,8192,137.899
16,0,16,16384,257.674
16,0,32,16,16.9177
16,0,32,32,17.269
16,0,32,64,17.3227
16,0,32,128,19.957
16,0,32,256,23.2427
16,0,32,512,34.9223
16,0,32,1024,49.589
16,0,32,2048,78.9763
16,0,32,4096,138.677
16,0,32,8192,256.469
16,0,32,16384,497.088
16,0,64,16,23.7437
16,0,64,32,23.8613
16,0,64,64,24.309
16,0,64,128,29.8137
16,0,64,256,36.4057
16,0,64,512,55.7433
16,0,64,1024,85.5043
16,0,64,2048,143.627
16,0,64,4096,258.88
16,0,64,8192,491.562
16,0,64,16384,961.269
16,0,128,16,37.1413
16,0,128,32,37.6747
16,0,128,64,38.8907
16,0,128,128,49.504
16,0,128,256,61.7707
16,0,128,512,98.068
16,0,128,1024,156.384
16,0,128,2048,271.167
16,0,128,4096,497.717
16,0,128,8192,960.895
16,0,128,16384,1896.18
