layer,sequences,time_us
lm_head,1,63.467
lm_head,2,64.0643
lm_head,3,62.9553
lm_head,4,63.7867
lm_head,5,62.571
lm_head,6,62.6987
lm_head,7,63.7653
lm_head,8,62.2407
lm_head,9,62.891
lm_head,10,64.1707
lm_head,11,63.2963
lm_head,12,63.5207
lm_head,13,62.859
lm_head,14,63.734
lm_head,15,64.576
lm_head,16,64.2243
lm_head,20,63.467
lm_head,24,64.939
lm_head,28,63.5633
lm_head,32,64.6617
lm_head,36,65.1413
lm_head,40,66.0057
lm_head,44,65.3977
lm_head,48,66.6887
lm_head,52,65.3013
lm_head,56,65.483
lm_head,60,66.006
lm_head,64,65.4513
lm_head,80,67.297
lm_head,96,67.0933
lm_head,112,67.5523
lm_head,128,69.003
lm_head,144,69.536
lm_head,160,69.9093
lm_head,176,72.2033
lm_head,192,76.2777
lm_head,208,76.171
lm_head,224,80.139
lm_head,240,83.5743
lm_head,256,86.667
sampler,1,14.2503
sampler,2,14.6133
sampler,3,14.88
sampler,4,14.1437
sampler,5,14.6983
sampler,6,14.8373
sampler,7,14.7313
sampler,8,14.5707
sampler,9,14.752
sampler,10,15.0827
sampler,11,15.0187
sampler,12,14.816
sampler,13,14.4647
sampler,14,15.072
sampler,15,14.9433
sampler,16,14.5273
sampler,20,14.9443
sampler,24,14.9553
sampler,28,14.816
sampler,32,15.1147
sampler,36,16.427
sampler,40,17.1097
sampler,44,16.5973
sampler,48,16.9813
sampler,52,17.0563
sampler,56,17.2163
sampler,60,17.6957
sampler,64,17.6957
sampler,80,19.4137
sampler,96,19.221
sampler,112,20.8
sampler,128,21.4823
sampler,144,25.9417
sampler,160,27.0937
sampler,176,29.5577
sampler,192,30.7307
sampler,208,32.481
sampler,224,34.006
sampler,240,36.288
sampler,256,38.2727
