pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0001,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.1199,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0069,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0024,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.1751,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.005,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0085,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0762,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0189,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0029,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.1284,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.018,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.0124,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.3694,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0282,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1491,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.7318,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.2569,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0849,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.7631,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.1625,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.074,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.8705,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.2141,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0976,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.7874,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.4212,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0478,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.5874,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.1377,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0027,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.1171,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0132,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0031,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.1804,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0061,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0019,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0707,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0007,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0041,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.1315,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.009,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0252,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.3687,4
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0188,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0272,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.3705,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0687,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.0447,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.299,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0609,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0825,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.2068,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.1075,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0162,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.2217,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0097,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.2278,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.6269,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.3058,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.2524,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.4688,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.3098,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0908,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.3797,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.0406,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.7694,2
0,n<=4,sr>70%,kvB<=1k,kp=0,1.7931,2
0,n<=4,sr>70%,kvB<=4k,kp=0,1.5957,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0078,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.191,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0171,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,-0.0048,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.1912,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,-0.0061,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.0281,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.1427,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.0388,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,-0.0113,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.159,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0165,2
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0109,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.4145,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.0235,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.1327,2
