pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.2107,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.6239,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.2793,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.2039,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.6535,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.3003,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.193,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.3878,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.2189,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.2672,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.99,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.4448,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.6637,4
0,n<=128,sr>70%,kvB<=1k,kp=0,2.2678,4
0,n<=128,sr>70%,kvB<=4k,kp=0,1.1153,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.045,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.5084,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0954,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0578,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.588,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.2884,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0336,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.2115,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.2726,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0237,4
0,n<=16,sr>70%,kvB<=1k,kp=0,-0.8377,2
0,n<=16,sr>70%,kvB<=4k,kp=0,0.3932,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.1026,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.7276,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,1.6595,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.062,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.3377,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0736,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.0961,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.3141,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.1505,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0632,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.2106,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0669,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,0.0086,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.1157,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0015,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.601,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.4627,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.5557,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0823,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.5277,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0879,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.3811,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.5125,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.6585,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.2842,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.4138,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.2941,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.0688,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.2184,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.0294,2
0,n<=32,sr>70%,kvB<=16k,kp=0,1.8735,4
0,n<=32,sr>70%,kvB<=1k,kp=0,1.9772,4
0,n<=32,sr>70%,kvB<=4k,kp=0,1.8339,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,1.3146,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,1.0603,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.4583,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.3989,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.6974,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.6772,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.8046,2
0,n<=4,sr>70%,kvB<=1k,kp=0,1.0778,1
0,n<=4,sr>70%,kvB<=4k,kp=0,1.729,1
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.2299,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.8635,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.3422,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.1373,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.2645,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.2833,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.2752,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.6892,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.3107,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,0.0225,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,-0.1646,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0186,2
0,n<=64,sr>70%,kvB<=16k,kp=0,2.3431,4
0,n<=64,sr>70%,kvB<=1k,kp=0,2.301,3
