layer,tokens,time_us
embedding,1,3.232
embedding,2,3.42333
embedding,3,3.78633
embedding,4,3.93567
embedding,5,4.37367
embedding,6,4.55433
embedding,7,4.864
embedding,8,4.96
embedding,9,5.42933
embedding,10,5.792
embedding,11,5.984
embedding,12,6.32567
embedding,13,6.56
embedding,14,6.88033
embedding,15,7.12467
embedding,16,7.19967
embedding,20,2.83733
embedding,24,2.64567
embedding,28,2.89067
embedding,32,2.87967
embedding,36,2.99733
embedding,40,2.79433
embedding,44,2.87967
embedding,48,2.816
embedding,52,2.93333
embedding,56,2.84767
embedding,60,2.91233
embedding,64,2.923
embedding,80,2.97567
embedding,96,2.99733
embedding,112,3.10433
embedding,128,3.232
embedding,144,3.48767
embedding,160,3.53033
embedding,176,3.53033
embedding,192,3.55167
embedding,208,3.69067
embedding,224,3.73233
embedding,240,3.915
embedding,256,3.91467
embedding,272,4.405
embedding,288,4.50167
embedding,304,4.576
embedding,320,4.66133
embedding,336,4.608
embedding,352,4.683
embedding,368,5.00267
embedding,384,5.01333
embedding,400,5.23733
embedding,416,5.25833
embedding,432,5.20533
embedding,448,5.24767
embedding,464,5.31167
embedding,480,5.42933
embedding,496,5.6
embedding,512,5.493
embedding,528,5.77067
embedding,544,5.83467
embedding,560,5.80267
embedding,576,5.81333
embedding,592,5.856
embedding,608,5.92
embedding,624,6.005
embedding,640,6.03733
embedding,656,6.155
embedding,672,6.101
embedding,688,6.27167
embedding,704,6.27233
embedding,720,6.24
embedding,736,6.38967
embedding,752,6.33633
embedding,768,6.432
embedding,784,6.41067
embedding,800,6.464
embedding,816,6.47533
embedding,832,6.55967
embedding,848,6.72067
embedding,864,6.752
embedding,880,6.859
embedding,896,6.80533
embedding,912,6.92267
embedding,928,6.96567
embedding,944,7.01867
embedding,960,7.2
embedding,976,7.232
embedding,992,7.296
embedding,1008,7.33867
embedding,1024,7.49867
embedding,1040,7.56333
embedding,1056,7.85067
embedding,1072,7.787
embedding,1088,7.84
embedding,1104,7.90333
embedding,1120,7.91433
embedding,1136,7.94667
embedding,1152,7.957
embedding,1168,8.01067
embedding,1184,8.053
embedding,1200,8.27733
embedding,1216,8.27767
embedding,1232,8.171
embedding,1248,8.34167
embedding,1264,8.32033
embedding,1280,8.24533
embedding,1296,8.32
embedding,1312,8.43733
embedding,1328,8.50167
embedding,1344,8.45867
embedding,1360,8.57567
embedding,1376,8.629
embedding,1392,8.71467
embedding,1408,8.82067
embedding,1424,9.141
embedding,1440,9.00267
embedding,1456,9.173
embedding,1472,9.13067
embedding,1488,9.397
embedding,1504,9.41867
embedding,1520,9.50367
embedding,1536,9.483
embedding,1552,9.46133
embedding,1568,9.51467
embedding,1584,9.54633
embedding,1600,9.66433
embedding,1616,9.728
embedding,1632,9.66367
embedding,1648,9.76033
embedding,1664,9.899
embedding,1680,9.90933
embedding,1696,10.112
embedding,1712,9.97333
embedding,1728,10.07
embedding,1744,10.1333
embedding,1760,10.1333
embedding,1776,10.176
embedding,1792,10.3683
embedding,1808,10.3463
embedding,1824,10.592
embedding,1840,10.592
embedding,1856,10.635
embedding,1872,10.912
embedding,1888,11.147
embedding,1904,10.9437
embedding,1920,10.8803
embedding,1936,11.3493
embedding,1952,11.4667
embedding,1968,11.424
embedding,1984,11.883
embedding,2000,11.7233
embedding,2016,11.787
embedding,2032,11.9567
embedding,2048,12.0427
final_layernorm,1,2.95433
final_layernorm,2,2.95467
final_layernorm,3,2.976
final_layernorm,4,2.86967
final_layernorm,5,2.97567
final_layernorm,6,2.95467
final_layernorm,7,3.05067
final_layernorm,8,2.96533
final_layernorm,9,2.88
final_layernorm,10,2.944
final_layernorm,11,2.98667
final_layernorm,12,2.965
final_layernorm,13,3.02933
final_layernorm,14,2.944
final_layernorm,15,2.95467
final_layernorm,16,3.04
final_layernorm,20,2.986
final_layernorm,24,2.944
final_layernorm,28,2.98667
final_layernorm,32,2.976
final_layernorm,36,3.06133
final_layernorm,40,3.04
final_layernorm,44,3.00833
final_layernorm,48,2.98667
final_layernorm,52,3.072
