label,status,sweep,topology,ep,intra_lat,inter_lat,intra_bw,inter_bw,tpot_ms,ttft_ms,lat_ms,tpot_p50_ms,ttft_p50_ms,n_reqs,elapsed_s,stderr,error
nvl72_ep8,ok,nvl72,nvl72,8,1000.0,1000.0,1800.0,50.0,5.667764,6.390611,498.458405,5.94071,7.028099,2,163.83257961273193,,
nvl72_ep16,ok,nvl72,nvl72,16,1000.0,1000.0,1800.0,50.0,4.0450575,6.9706115,360.7236995,4.390829,7.72919,2,362.27302742004395,,
nvl72_ep32,ok,nvl72,nvl72,32,1000.0,1000.0,1800.0,50.0,5.57182,8.512031499999999,492.209067,5.837731,9.293319,2,715.0303785800934,,
nvl72_ep64,ok,nvl72,nvl72,64,1000.0,1000.0,1800.0,50.0,8.415869,12.6776425,736.053351,8.438756,14.546451,2,1372.0676424503326,,
nvl72_ep128,ok,nvl72,nvl72,128,1000.0,1000.0,1800.0,50.0,8.5739225,11.2963325,748.1925465,8.601051,11.675735,2,2832.597010612488,,
fb4x4_swA_ep8_ilat100,ok,A,fb_4x4,8,100,2000.0,512.0,512.0,4.8008615,6.199229000000001,418.9244415,4.809619,7.210187,2,172.90503001213074,,
fb4x4_swA_ep8_ilat200,ok,A,fb_4x4,8,200,2000.0,512.0,512.0,4.8844,6.454451499999999,426.36618899999996,4.89303,7.655748,2,170.43176341056824,,
fb4x4_swA_ep8_ilat300,ok,A,fb_4x4,8,300,2000.0,512.0,512.0,4.9682034999999996,6.65447,433.7753905,4.976712,7.971785,2,169.4171380996704,,
fb4x4_swA_ep8_ilat500,ok,A,fb_4x4,8,500,2000.0,512.0,512.0,5.136077,6.821811,448.3794555,5.144608,8.138467,2,167.23758244514465,,
fb4x4_swA_ep8_ilat750,ok,A,fb_4x4,8,750,2000.0,512.0,512.0,5.345943,7.89307,467.4984885,5.354516,10.070985,2,166.15136551856995,,
fb4x4_swA_ep8_ilat1000,ok,A,fb_4x4,8,1000,2000.0,512.0,512.0,5.555834,8.545777000000001,486.20073549999995,5.56447,11.166399,2,163.01558327674866,,
