label,status,topology,panel,ep_nominal,ep,wg_count,intra_opt_bw,ttft_ms,tpot_ms,lat_ms,ttft_p50_ms,tpot_p50_ms,n_reqs,elapsed_s,stderr,error
nvl72_ep4,ok,nvl72,nvl72,4,4,14,1800.0,10.2223735,5.3202865,472.5652855,13.56186,5.602535,2,81.94645428657532,,
nvl72_ep8,ok,nvl72,nvl72,8,8,14,1800.0,6.390611,5.667764,498.458405,7.028099,5.94071,2,161.63568353652954,,
nvl72_ep16,ok,nvl72,nvl72,16,16,14,1800.0,6.9706115,4.0450575,360.7236995,7.72919,4.390829,2,354.8482189178467,,
nvl72_ep32,ok,nvl72,nvl72,32,32,14,1800.0,8.512031499999999,5.57182,492.209067,9.293319,5.837731,2,696.8877305984497,,
nvl72_ep64,ok,nvl72,nvl72,64,64,14,1800.0,12.6776425,8.415869,736.053351,14.546451,8.438756,2,1328.046828508377,,
fb_6x6_4c_ep4n_ep4_wg2_bw256,ok,fb,6x6_4c,4,4,2,256,8.7723885,4.980938999999999,439.5345515,10.848682,5.122197,2,85.30014538764954,,
fb_4x4_ep4n_ep4_wg2_bw256,ok,fb,4x4,4,4,2,256,8.7723885,4.980938999999999,439.5345515,10.848682,5.122197,2,84.55625224113464,,
fb_6x6_ep4n_ep4_wg2_bw256,ok,fb,6x6,4,4,2,256,8.7723885,4.980938999999999,439.5345515,10.848682,5.122197,2,84.526113986969,,
fb_6x6_4c_ep4n_ep4_wg4_bw512,ok,fb,6x6_4c,4,4,4,512,8.720371499999999,4.979454499999999,439.35567749999996,10.748152,5.120759,2,84.52736639976501,,
fb_4x4_ep4n_ep4_wg4_bw512,ok,fb,4x4,4,4,4,512,8.720371499999999,4.979454499999999,439.35567749999996,10.748152,5.120759,2,84.54666042327881,,
fb_6x6_ep4n_ep4_wg4_bw512,ok,fb,6x6,4,4,4,512,8.720371499999999,4.979454499999999,439.35567749999996,10.748152,5.120759,2,84.48541903495789,,
fb_6x6_4c_ep4n_ep4_wg6_bw768,ok,fb,6x6_4c,4,4,6,768,8.709094,4.9791505,439.3185435,10.726701,5.120471,2,84.61892199516296,,
fb_4x4_ep4n_ep4_wg6_bw768,ok,fb,4x4,4,4,6,768,8.709094,4.9791505,439.3185435,10.726701,5.120471,2,84.23855185508728,,
fb_6x6_ep4n_ep4_wg6_bw768,ok,fb,6x6,4,4,6,768,8.709094,4.9791505,439.3185435,10.726701,5.120471,2,84.47583270072937,,
fb_6x6_4c_ep4n_ep4_wg8_bw1024,ok,fb,6x6_4c,4,4,8,1024,8.694471,4.978713000000001,439.2663845,10.698031,5.12004,2,84.89498591423035,,
fb_4x4_ep4n_ep4_wg8_bw1024,ok,fb,4x4,4,4,8,1024,8.694471,4.978713000000001,439.2663845,10.698031,5.12004,2,84.5167818069458,,
fb_6x6_ep4n_ep4_wg8_bw1024,ok,fb,6x6,4,4,8,1024,8.694471,4.978713000000001,439.2663845,10.698031,5.12004,2,84.58198976516724,,
fb_6x6_4c_ep8n_ep8_wg2_bw256,ok,fb,6x6_4c,8,8,2,256,7.6238315000000005,5.081144500000001,447.179775,9.955196,5.232762,2,169.16269874572754,,
fb_4x4_ep8n_ep8_wg2_bw256,ok,fb,4x4,8,8,2,256,6.756935,4.9712925,434.142384,8.171003,4.979867,2,169.57433557510376,,
